word	occu	freq-per-mill	usual	rank	racio
mãe	2	644.33	2054.65	484	0.31
almoço	2	644.33	353.39	2827	1.82
lavar	2	644.33	236.26	4230	2.73
tia	2	644.33	145.82	6855	4.42
intervalo	2	644.33	103.51	4201	6.22
favorito	2	644.33	141.08	5840	4.57
cinco	2	644.33	2033.76	489	0.32
quarto	2	644.33	1219.96	817	0.53
buscar	2	644.33	550.15	1815	1.17
trabalho	2	644.33	4909.96	113	0.13
dormir	2	644.33	397.98	2510	1.62
seguinte	2	644.33	1573.07	633	0.41
referir	2	644.33	106.54	7784	6.05
nosso	2	644.33	4335.18	173	0.15
fazíamos	2	644.33	30.29	33013	21.27
2	2	644.33	8216.93	119	0.08
coleção	2	644.33	524.74	1903	1.23
Yu-Gi-Oh	2	644.33	14.49	68993	44.46
!	2	644.33	24570.02	38	0.03
único	2	644.33	1513.55	620	0.43
som	2	644.33	682.27	1463	0.94
tanto	2	644.33	3640.33	272	0.18
honesto	2	644.33	92.61	10795	6.96
tapar	2	644.33	18.58	30249	34.67
rápido	2	644.33	916.84	1088	0.70
possível	2	644.33	4411.12	224	0.15
nunca	2	644.33	3653.64	271	0.18
miúdo	2	644.33	62.01	27277	10.39
gritar	2	644.33	88.13	11344	7.31
marcar	2	644.33	175.36	3648	3.67
época	2	644.33	2111.04	471	0.31
Ok	2	644.33	191.80	10180	3.36
Gostava	2	644.33	194.11	21711	3.32
estudar	2	644.33	494.88	2018	1.30
conheci	2	644.33	2.50	6083	258.16
diferente	2	644.33	2297.66	606	0.28
lembro-me	2	644.33	38.36	26068	16.80
positivo	2	644.33	286.07	2595	2.25
éramos	2	644.33	66.28	15085	9.72
espécie	2	644.33	1089.68	915	0.59
recordação	2	644.33	55.22	21679	11.67
claro	2	644.33	1667.50	597	0.39
manter	2	644.33	258.18	632	2.50
tema	2	644.33	1678.70	593	0.38
professor	2	644.33	1136.12	795	0.57
vida	2	644.33	10787.49	90	0.06
tratava-nos	2	644.33	1.00	OFV	644.33
escrita	2	644.33	632.63	1578	1.02
pegar	2	644.33	258.56	2098	2.49
sintar	2	644.33	377.40	OFV	1.71
algo	2	644.33	3487.97	284	0.18
escolher	2	644.33	47.08	1040	13.69
velho	2	644.33	510.28	1957	1.26
costume	2	644.33	174.65	5536	3.69
lareira	2	644.33	94.17	10616	6.84
carinho	2	644.33	418.81	2385	1.54
sensação	2	644.33	569.57	1753	1.13
pensar	2	644.33	728.70	832	0.88
acontecer	2	644.33	591.42	1427	1.09
qual	2	644.33	7955.45	123	0.08
definitivamente	2	644.33	228.90	4366	2.81
Houve	2	644.33	850.56	5768	0.76
corredor	2	644.33	146.98	6801	4.38
terra	2	644.33	1350.07	738	0.48
entre	2	644.33	14771.05	65	0.04
campo	2	644.33	1764.60	564	0.37
murozinho	2	644.33	1.00	OFV	644.33
tal	2	644.33	2489.42	399	0.26
estávar	2	644.33	176.81	OFV	3.64
queixo	2	644.33	67.93	14719	9.49
cima	2	644.33	1165.91	855	0.55
costa	2	644.33	354.27	4146	1.82
inconsciente	2	644.33	108.56	9209	5.94
logo	2	644.33	2142.70	464	0.30
qualquer	2	644.33	7369.20	133	0.09
vir	2	644.33	805.39	1374	0.80
ajudar	2	644.33	1780.31	559	0.36
provavelmente	2	644.33	610.99	1634	1.05
levar	2	644.33	730.87	714	0.88
sala	2	644.33	1527.42	652	0.42
férias	2	644.33	630.24	1584	1.02
sofá	2	644.33	175.23	5704	3.68
animar	2	644.33	92.30	14864	6.98
televisão	2	644.33	601.43	1660	1.07
Beatriz	1	322.16	116.09	8611	2.78
Oliveira	1	322.16	756.03	1320	0.43
agradecer	1	322.16	262.69	3804	1.23
apresentar	1	322.16	974.94	1023	0.33
diga	1	322.16	175.29	5702	1.84
22	1	322.16	1121.45	889	0.29
pouco	1	322.16	5414.19	182	0.06
nascer	1	322.16	619.31	5483	0.52
favor	1	322.16	1096.85	909	0.29
nasci	1	322.16	58.25	17164	5.53
Famalicão	1	322.16	31.37	31874	10.27
Mogege	1	322.16	1.00	OFV	322.17
pacato	1	322.16	34.64	49751	9.30
três	1	322.16	5385.03	183	0.06
café	1	322.16	94.83	1317	3.40
rodear	1	322.16	60.59	85498	5.32
natureza	1	322.16	1353.73	736	0.24
tranquilo	1	322.16	216.04	4626	1.49
parecido	1	322.16	110.42	5503	2.92
zona	1	322.16	852.73	1170	0.38
entanto	1	322.16	2223.70	447	0.14
antigo	1	322.16	608.01	1542	0.53
inverno	1	322.16	28.50	2829	11.30
aguentasse	1	322.16	6.00	166767	53.73
lado	1	322.16	4430.66	223	0.07
estrada	1	322.16	482.23	2071	0.67
basicamente	1	322.16	255.06	3918	1.26
animal	1	322.16	1175.50	1745	0.27
típico	1	322.16	155.07	6446	2.08
acordar	1	322.16	149.84	6671	2.15
arrogente	1	322.16	1.00	OFV	322.17
sonolento	1	322.16	16.31	61305	19.75
vestir	1	322.16	160.75	6218	2.00
tomar	1	322.16	1135.46	878	0.28
clássico	1	322.16	397.50	2513	0.81
leite	1	322.16	659.76	1513	0.49
cereal	1	322.16	93.40	26341	3.45
rotina	1	322.16	428.87	2329	0.75
dente	1	322.16	295.62	8491	1.09
cara	1	322.16	1208.17	825	0.27
aula	1	322.16	771.78	1301	0.42
quintal	1	322.16	129.14	7741	2.49
hora	1	322.16	3359.09	346	0.10
extro	1	322.16	151.43	OFV	2.13
brincadeira	1	322.16	210.32	4752	1.53
atividade	1	322.16	1518.14	656	0.21
novo	1	322.16	5595.97	176	0.06
lembrr	1	322.16	38.36	OFV	8.40
tínhamos	1	322.16	174.23	5737	1.85
rivalidade	1	322.16	66.94	14937	4.81
adorar	1	322.16	60.95	7183	5.29
WWE	1	322.16	65.67	15225	4.91
andar	1	322.16	633.83	1575	0.51
porrada	1	322.16	39.25	25476	8.21
carta	1	322.16	264.22	2042	1.22
chover	1	322.16	20.06	18963	16.06
bola	1	322.16	590.77	1690	0.55
parar	1	322.16	50.61	1799	6.37
aqui	1	322.16	7007.71	140	0.05
questão	1	322.16	1913.14	520	0.17
sabor	1	322.16	365.80	2731	0.88
manhã	1	322.16	1536.81	648	0.21
tocar	1	322.16	197.02	2903	1.64
consigo	1	322.16	587.99	1698	0.55
explicar	1	322.16	9.60	2293	33.56
exatamente	1	322.16	734.92	1358	0.44
nevoeiro	1	322.16	34.26	29188	9.40
particular	1	322.16	578.13	1727	0.56
Sabores	1	322.16	161.19	33396	2.00
sopa	1	322.16	48.66	5367	6.62
obrigar	1	322.16	10.51	16439	30.66
intragável	1	322.16	5.42	98558	59.44
nariz	1	322.16	170.54	5861	1.89
quem	1	322.16	7593.01	129	0.04
ganhar	1	322.16	48.77	1060	6.61
Sons	1	322.16	200.01	27028	1.61
esquecer	1	322.16	302.69	3301	1.06
voz	1	322.16	158.26	1196	2.04
