word,occu,freq-per-mill,usual,rank,racio
Catarina,1006,1006.04,465.83,2144,2.16
Pereira,1006,1006.04,503.6,1983,2.0
contar,1006,1006.04,989.41,1008,1.02
sobre,1006,1006.04,17331.02,55,0.06
querido,1006,1006.04,63.56,6077,15.83
cresceste,1006,1006.04,3.24,308748,310.61
Nasci,1006,1006.04,29.29,34140,34.35
Braga,1006,1006.04,259.76,3847,3.87
vivi,1006,1006.04,68.01,14702,14.79
aldeia,1006,1006.04,219.07,4562,4.59
nosso,1006,1006.04,5189.41,173,0.19
acesso,1006,1006.04,2592.69,383,0.39
Gostar,1006,1006.04,191.47,60446,5.25
lugar,1006,1006.04,4470.27,221,0.23
afetivo,1006,1006.04,32.5,20202,30.96
acompanhar,1006,1006.04,117.55,1796,8.56
até,1006,1006.04,16207.46,59,0.06
continuar,1006,1006.04,864.53,1182,1.16
espaço,1006,1006.04,3167.56,313,0.32
viveste,1006,1006.04,5.52,181263,182.36
embora,1006,1006.04,620.08,765,1.62
recordação,1006,1006.04,64.32,21679,15.64
ar,1006,1006.04,1590.58,626,0.63
livre,1006,1006.04,1295.84,769,0.78
enquanto,1006,1006.04,3428.18,289,0.29
tratar,1006,1006.04,27.74,1900,36.27
divertir,1006,1006.04,2.34,6718,430.84
típico,1006,1006.04,155.07,6446,6.49
Acordar,1006,1006.04,6.71,54608,149.88
muitas,1006,1006.04,4037.14,245,0.25
aula,1006,1006.04,771.78,1301,1.3
começar,1006,1006.04,55.08,861,18.27
trabalhar,1006,1006.04,58.61,698,17.17
deixavam,1006,1006.04,2.53,23921,397.52
nítido,1006,1006.04,49.05,25307,20.51
caixa,1006,1006.04,768.82,1298,1.31
azul,1006,1006.04,571.2,1748,1.76
sinto,1006,1006.04,377.4,2647,2.67
transportar,1006,1006.04,36.63,8782,27.46
volta,1006,1006.04,2661.7,373,0.38
depois,1006,1006.04,2446.78,136,0.41
tomar,1006,1006.04,56.02,878,17.96
pequeno-almoço,1006,1006.04,68.98,14494,14.58
observar,1006,1006.04,129.24,2785,7.78
pássaro,1006,1006.04,114.68,14796,8.77
pousar,1006,1006.04,5.55,27701,181.29
ali,1006,1006.04,997.31,1000,1.01
intervalo,1006,1006.04,103.51,4201,9.72
longo,1006,1006.04,198.86,391,5.06
Víamos,1006,1006.04,3.62,276132,277.8
televisão,1006,1006.04,601.43,1660,1.67
trabalho,1006,1006.04,1176.89,113,0.85
noite,1006,1006.04,2772.39,358,0.36
bocadinho,1006,1006.04,72.07,13872,13.96
desenho,1006,1006.04,294.4,2348,3.42
animar,1006,1006.04,92.3,14864,10.9
dormir,1006,1006.04,397.98,2510,2.53
Tinhas,1006,1006.04,6.08,164527,165.52
favorita,1006,1006.04,100.59,9939,10.0
restaurante,1006,1006.04,445.1,2026,2.26
inventar,1006,1006.04,3.95,13008,254.51
rapaz,1006,1006.04,100.26,3611,10.03
menina,1006,1006.04,419.69,2207,2.4
comprar,1006,1006.04,1701.55,585,0.59
